state,action,next_state,SINR
"[1, 5000000000.0, 25, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[2, 0, 2, 1, 1, 1, 0]","[1, 5000000000.0, 30, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",-6.399056911468506
"[1, 5000000000.0, 30, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[2, 2, 3, 2, 0, 0, 0]","[1, 6000000000.0, 1, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",-5.133469104766846
"[1, 6000000000.0, 1, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[3, 2, 1, 1, 1, 1, 0]","[1, 6000000000.0, 5, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",8.979427337646484
"[1, 6000000000.0, 5, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[0, 1, 2, 1, 0, 1, 0]","[1, 6000000000.0, 10, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",11.12673568725586
"[1, 6000000000.0, 10, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[3, 1, 1, 4, 1, 1, 0]","[1, 6000000000.0, 15, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",3.9902148246765137
"[1, 6000000000.0, 15, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[1, 1, 0, 2, 1, 0, 0]","[1, 6000000000.0, 20, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",6.658499240875244
"[1, 6000000000.0, 20, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[3, 0, 2, 1, 1, 0, 0]","[1, 6000000000.0, 25, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",10.029372215270996
"[1, 6000000000.0, 25, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[2, 1, 2, 4, 1, 0, 0]","[1, 6000000000.0, 30, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]",-16.31075668334961
"[1, 6000000000.0, 30, 1, 1, 0, 10000000, 0, 80, 0, 0, 0, 0]","[0, 1, 0, 1, 1, 1, 0]","[1, 2000000000.0, 1, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",-2.0260393619537354
"[1, 2000000000.0, 1, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[2, 0, 0, 4, 1, 0, 0]","[1, 2000000000.0, 5, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",10.997942924499512
"[1, 2000000000.0, 5, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[4, 2, 0, 0, 0, 0, 0]","[1, 2000000000.0, 10, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",2.3296561241149902
"[1, 2000000000.0, 10, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[0, 2, 3, 0, 1, 1, 0]","[1, 2000000000.0, 15, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",3.1954166889190674
"[1, 2000000000.0, 15, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[0, 2, 2, 0, 0, 1, 0]","[1, 2000000000.0, 20, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",12.198625564575195
"[1, 2000000000.0, 20, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[4, 2, 0, 2, 0, 0, 0]","[1, 2000000000.0, 25, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",7.700547695159912
"[1, 2000000000.0, 25, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[1, 0, 1, 3, 0, 1, 0]","[1, 2000000000.0, 30, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",3.114511489868164
"[1, 2000000000.0, 30, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[2, 2, 1, 4, 0, 1, 0]","[1, 3000000000.0, 1, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",-7.531545162200928
"[1, 3000000000.0, 1, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[3, 1, 1, 4, 1, 1, 0]","[1, 3000000000.0, 5, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",8.097389221191406
"[1, 3000000000.0, 5, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[2, 1, 2, 3, 0, 0, 0]","[1, 3000000000.0, 10, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",6.822581768035889
"[1, 3000000000.0, 10, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[0, 2, 1, 3, 0, 0, 0]","[1, 3000000000.0, 15, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",-1.9396001100540161
"[1, 3000000000.0, 15, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[1, 1, 1, 4, 1, 1, 0]","[1, 3000000000.0, 20, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",-1.6626251935958862
"[1, 3000000000.0, 20, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[1, 2, 3, 0, 0, 0, 0]","[1, 3000000000.0, 25, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",9.002570152282715
"[1, 3000000000.0, 25, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[2, 2, 2, 4, 1, 1, 0]","[1, 3000000000.0, 30, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",8.79134750366211
"[1, 3000000000.0, 30, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[0, 0, 1, 3, 0, 1, 0]","[1, 3500000000.0, 1, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",9.548048973083496
"[1, 3500000000.0, 1, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[0, 0, 2, 2, 0, 0, 0]","[1, 3500000000.0, 5, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",-18.856924057006836
"[1, 3500000000.0, 5, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[2, 1, 2, 1, 0, 0, 0]","[1, 3500000000.0, 10, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",-9.726028442382812
"[1, 3500000000.0, 10, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[2, 0, 2, 0, 0, 0, 0]","[1, 3500000000.0, 15, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",-1.6573162078857422
"[1, 3500000000.0, 15, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[2, 0, 3, 1, 0, 1, 0]","[1, 3500000000.0, 20, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",-11.11728572845459
"[1, 3500000000.0, 20, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[2, 0, 2, 3, 1, 0, 0]","[1, 3500000000.0, 25, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",-5.922545909881592
"[1, 3500000000.0, 25, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[1, 1, 1, 2, 0, 1, 0]","[1, 3500000000.0, 30, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",-11.045626640319824
"[1, 3500000000.0, 30, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]","[0, 0, 1, 1, 1, 0, 0]","[1, 4000000000.0, 1, 1, 1, 0, 50000000, 0, 80, 0, 0, 0, 0]",-17.52421760559082
